CLAVE_ENTIDAD;ENTIDAD_FEDERATIVA;city;lat;lng;CLAVE_ENTIDAD;country;iso2;admin_name;capital;population;population_proper
1;AGUASCALIENTES;Mexico City;19.4333;-99.1333;15;Mexico;MX;Ciudad de México;primary;20996000;8918653
;;Acatic;20.7803;-102.91;Mexico;MX;;Jalisco;minor;21530;21530
3;BAJA CALIFORNIA SUR;Monterrey;25.6667;-100.3;19;Mexico;MX;Nuevo León;admin;4295000;1109171
4;CAMPECHE;Tijuana;32.525;-117.0333;2;Mexico;MX;Baja California;minor;2384609;1902385
5;COAHUILA DE ZARAGOZA;Ecatepec;19.6097;-99.06;9;Mexico;MX;México;minor;1656107;1656107
6;COLIMA;Puebla;19.0333;-98.1833;21;Mexico;MX;Puebla;admin;1576259;1576259
;;Abasolo;20.4511;-101.5289;Mexico;MX;;Guanajuato;minor;27389;27389
8;CHIHUAHUA;Juárez;31.7386;-106.487;8;Mexico;MX;Chihuahua;minor;1321004;1321004
;;Acatlán;20.4242;-103.6014;Mexico;MX;;Jalisco;minor;22261;22261
10;DURANGO;Nezahualcóyotl;19.4;-98.9889;;Mexico;MX;México;minor;1110565;1110565
11;GUANAJUATO;Ciudad Nezahualcóyotl;19.41;-99.03;;Mexico;MX;México;;1109363;750000
12;GUERRERO;Mexicali;32.6633;-115.4678;2;Mexico;MX;Baja California;admin;1102342;1032686
13;HIDALGO;Aguascalientes;21.876;-102.296;1;Mexico;MX;Aguascalientes;admin;934424;934424
14;JALISCO;Mérida;20.97;-89.62;31;Mexico;MX;Yucatán;admin;892363;892363
15;M�XICO;Chihuahua;28.6353;-106.0889;8;Mexico;MX;Chihuahua;admin;878062;878062
16;MICHOAC�N DE OCAMPO;Naucalpan de Juárez;19.4753;-99.2378;;Mexico;MX;México;minor;833779;833779
17;MORELOS;San Luis Potosí;22.1511;-100.9761;24;Mexico;MX;San Luis Potosí;admin;824229;772828
18;NAYARIT;Toluca;19.2925;-99.6569;;Mexico;MX;México;admin;819561;747512
19;NUEVO LE�N;Hermosillo;29.0989;-110.9542;26;Mexico;MX;Sonora;admin;812229;812229
;;Abasolo;27.1833;-101.4167;Mexico;MX;5;Coahuila de Zaragoza;minor;1130;1130
21;PUEBLA;Querétaro;20.5875;-100.3928;22;Mexico;MX;Querétaro;admin;804663;626495
22;QUER�TARO;Culiacán;24.8069;-107.3939;25;Mexico;MX;Sinaloa;admin;785800;785800
23;QUINTANA ROO;Morelia;19.7683;-101.1894;16;Mexico;MX;Michoacán de Ocampo;;784776;784776
24;SAN LUIS POTOS�;Tlalnepantla;19.5367;-99.1947;;Mexico;MX;México;minor;750224;653410
25;SINALOA;Cancún;21.1606;-86.8475;23;Mexico;MX;Quintana Roo;minor;743626;743626
;;Ahualulco de Mercado;20.6992;-103.9556;Mexico;MX;;Jalisco;minor;23362;23362
27;TABASCO;Reynosa;26.0922;-98.2778;28;Mexico;MX;Tamaulipas;minor;725793;612183
28;TAMAULIPAS;Guadalupe;25.6775;-100.2597;19;Mexico;MX;Nuevo León;minor;691931;691931
;;Acapetlahuaya;18.4167;-100.0667;Mexico;MX;12;Guerrero;minor;;
;;Allende;28.3333;-100.8333;Mexico;MX;5;Coahuila de Zaragoza;minor;20694;20694
;;Canatlán;24.52;-104.78;Mexico;MX;;Durango;minor;10342;5271
32;ZACATECAS;Villahermosa;17.9892;-92.9281;27;Mexico;MX;Tabasco;admin;640359;640359
36;ESTADOS UNIDOS MEXICANOS;Chimalhuacán;19.4167;-98.9;;Mexico;MX;México;minor;614453;614453
97;NO APLICA;Tuxtla;16.7528;-93.1167;7;Mexico;MX;Chiapas;admin;598710;598710
;;Amacueca;20.0107;-103.5998;Mexico;MX;;Jalisco;minor;;
99;NO ESPECIFICADO;Veracruz;19.1903;-96.1533;30;Mexico;MX;Veracruz;minor;552156;428323
;;Xalapa;19.54;-96.9275;Mexico;MX;30;Veracruz;admin;525147;424755
;;Ciudad Apodaca;25.7833;-100.1833;Mexico;MX;;Nuevo León;minor;523370;523370
;;Ensenada;31.8578;-116.6058;Mexico;MX;2;Baja California;minor;522768;522768
;;Heroica Matamoros;25.8797;-97.5042;Mexico;MX;;Tamaulipas;minor;520367;520367
;;Cuautitlán Izcalli;19.65;-99.25;Mexico;MX;;México;minor;511675;511675
;;Mazatlán;23.22;-106.42;Mexico;MX;;Sinaloa;minor;502547;502547
;;Mazatán;29.0167;-110.1333;Mexico;MX;;Sonora;minor;500000;438434
;;Ixtapaluca;19.3186;-98.8822;Mexico;MX;;México;minor;495563;495563
;;Ciudad López Mateos;19.55;-99.2833;Mexico;MX;;México;minor;489937;489937
;;Tultitlán de Mariano Escobedo;19.645;-99.1694;Mexico;MX;;México;minor;486998;486998
;;San Nicolás de los Garza;25.75;-100.2833;Mexico;MX;;Nuevo León;minor;476761;443273
;;Acámbaro;20.0361;-100.7314;Mexico;MX;;Guanajuato;minor;57972;57972
;;Ciudad Obregón;27.4939;-109.9389;Mexico;MX;;Sonora;minor;405000;386966
;;Apaseo el Alto;20.45;-100.6167;Mexico;MX;;Guanajuato;minor;64443;64443
;;Amatitán;20.8333;-103.7167;Mexico;MX;;Jalisco;minor;15344;15344
;;Nuevo Laredo;27.4861;-99.5069;Mexico;MX;;Tamaulipas;minor;373725;373725
;;Nicolás Romero;19.5833;-99.3667;Mexico;MX;;México;minor;366602;366602
;;Cuernavaca;18.9186;-99.2342;Mexico;MX;;Morelos;admin;366321;338650
;;Tecámac;19.7131;-98.9683;Mexico;MX;;México;minor;364579;364579
;;Ciudad General Escobedo;25.7933;-100.1583;Mexico;MX;;Nuevo León;minor;363436;299364
;;Minatitlán;17.9833;-94.55;Mexico;MX;;Veracruz;minor;356020;356020
;;Tepic;21.5083;-104.8931;Mexico;MX;;Nayarit;admin;332863;332863
;;Canelas;25.1;-106.5667;Mexico;MX;;Durango;minor;734;734
;;Tapachula;14.9;-92.2667;Mexico;MX;7;Chiapas;minor;320451;320451
;;Coatzacoalcos;18.15;-94.4333;Mexico;MX;;Veracruz;minor;319187;319187
;;Uruapan;19.4208;-102.0628;Mexico;MX;;Michoacán de Ocampo;minor;315350;315350
;;Tampico;22.2553;-97.8686;Mexico;MX;;Tamaulipas;minor;314418;314418
;;Chalco;19.2647;-98.8975;Mexico;MX;;México;minor;310130;310130
;;Ciudad Victoria;23.7333;-99.1333;Mexico;MX;;Tamaulipas;admin;305155;305155
;;Oaxaca;17.0833;-96.75;Mexico;MX;;Oaxaca;admin;300050;300050
;;Coacalco;19.6333;-99.0931;Mexico;MX;;México;minor;278064;278064
;;Acatlán;20.1444;-98.4383;Mexico;MX;;Hidalgo;minor;17914;17914
